Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
,,,,,,,,,,ADJUSTED,NUMBER OF,NUMBER OF,WATER TEMP AT
YEAR,SPECIES,"METRIC
TONS",POUNDS*,POUNDS(millions)*,VALUE,VALUE(millions),PRICE/LB,"ADJUSTED
PRICE/LB","ADJUSTED
VALUE","VALUE
(millions)","LICENSE
HOLDERS�",TRAPS -MILLIONS,"BOOTHBAY HARBOR
STATION (C)"
1880,"LOBSTER, AMERICAN",,"14,235,102",14.2351,"$300,000",0.3,$0.02,,,,"2,763",0.104,
1881,"LOBSTER, AMERICAN",,,,,,,,,,,,
1882,"LOBSTER, AMERICAN",,,,,,,,,,,,
1883,"LOBSTER, AMERICAN",,,,,,,,,,,,
1884,"LOBSTER, AMERICAN",,,,,,,,,,,,
1885,"LOBSTER, AMERICAN",,,,,,,,,,,,
1886,"LOBSTER, AMERICAN","10,433","23,000,592",23.0006,,,$0.00,,,,,,
1887,"LOBSTER, AMERICAN","10,395","22,916,817",22.9168,"$500,000",0.5,$0.02,,,,"1,906",0.109,
1888,"LOBSTER, AMERICAN","9,841","21,695,469",21.6955,"$500,000",0.5,$0.02,,,,"1,967",0.107,
1889,"LOBSTER, AMERICAN","11,091","24,451,219",24.4512,"$500,000",0.5,$0.02,,,,"2,080",0.121,
1890,"LOBSTER, AMERICAN","9,071","19,997,927",19.9979,,,$0.00,,,,,,
1891,"LOBSTER, AMERICAN",,,,,,,,,,,,
1892,"LOBSTER, AMERICAN","8,003","17,643,414",17.6434,"$700,000",0.7,$0.04,,,,"2,628",0.153,
1893,"LOBSTER, AMERICAN",,,,,,,,,,,,
1894,"LOBSTER, AMERICAN",,,,,,,,,,,0.2,
1895,"LOBSTER, AMERICAN",,,,,,,,,,,,
1896,"LOBSTER, AMERICAN",,,,,,,,,,,,
1897,"LOBSTER, AMERICAN","5,085","11,210,391",11.2104,"$800,000",0.8,$0.07,,,,"2,436",0.234,
1898,"LOBSTER, AMERICAN","5,565","12,268,599",12.2686,"$900,000",0.9,$0.07,,,,"3,103",0.279,
1899,"LOBSTER, AMERICAN","5,769","12,718,337",12.7183,"$1,000,000",1.0,$0.08,,,,"3,116",0.335,
1900,"LOBSTER, AMERICAN","6,535","14,407,061",14.4071,"$1,000,000",1.0,$0.07,,,,"3,105",0.327,
1901,"LOBSTER, AMERICAN","6,343","13,983,778",13.9838,"$1,000,000",1.0,$0.07,,,,"2,788",0.304,
1902,"LOBSTER, AMERICAN","6,497","14,323,286",14.3233,"$1,200,000",1.2,$0.08,,,,"2,541",0.298,
1903,"LOBSTER, AMERICAN","5,949","13,115,165",13.1152,"$1,200,000",1.2,$0.09,,,,"2,558",0.268,
1904,"LOBSTER, AMERICAN","5,481","12,083,413",12.0834,"$1,100,000",1.1,$0.09,,,,"2,509",0.264,
1905,"LOBSTER, AMERICAN","5,052","11,137,639",11.1376,"$1,400,000",1.4,$0.13,,,,"2,562",0.254,7.8
1906,"LOBSTER, AMERICAN","6,803","14,997,894",14.9979,"$1,600,000",1.6,$0.11,,,,"2,672",0.305,7.0
1907,"LOBSTER, AMERICAN","7,891","17,396,499",17.3965,"$1,900,000",1.9,$0.11,,,,,,6.8
1908,"LOBSTER, AMERICAN","8,000","17,636,800",17.6368,"$1,600,000",1.6,$0.09,,,,,,8.6
1909,"LOBSTER, AMERICAN","7,690","16,953,374",16.9534,"$1,800,000",1.8,$0.11,,,,,,8.6
1910,"LOBSTER, AMERICAN","9,043","19,936,198",19.9362,"$2,100,000",2.1,$0.11,,,,,,9.0
1911,"LOBSTER, AMERICAN","7,343","16,188,378",16.1884,"$2,100,000",2.1,$0.13,,,,,,8.3
1912,"LOBSTER, AMERICAN","7,393","16,298,608",16.2986,"$2,000,000",2.0,$0.12,,,,,,7.7
1913,"LOBSTER, AMERICAN","5,523","12,176,006",12.1760,"$1,600,000",1.6,$0.13,,,,,,8.6
1914,"LOBSTER, AMERICAN","5,874","12,949,820",12.9498,"$1,700,000",1.7,$0.13,,,,,,7.0
1915,"LOBSTER, AMERICAN","5,233","11,536,672",11.5367,"$2,300,000",2.3,$0.20,,,,,,7.1
1916,"LOBSTER, AMERICAN","4,606","10,154,388",10.1544,"$2,200,000",2.2,$0.22,,,,"3,291",,6.7
1917,"LOBSTER, AMERICAN",,,,,,,,,,,,6.3
1918,"LOBSTER, AMERICAN",,,,,,,,,,,,7.7
1919,"LOBSTER, AMERICAN","2,628","5,793,689",5.7937,"$1,400,000",1.4,$0.24,,,,"3,067",,8.5
1920,"LOBSTER, AMERICAN",,,,,,,,,,,,8.2
1921,"LOBSTER, AMERICAN",,,,,,,,,,,,8.7
1922,"LOBSTER, AMERICAN",,,,,,,,,,,,8.0
1923,"LOBSTER, AMERICAN",,,,,,,,,,,,7.4
1924,"LOBSTER, AMERICAN","2,501","5,513,705",5.5137,"$1,800,000",1.8,$0.33,,,,,0.154,7.7
1925,"LOBSTER, AMERICAN",,,,,,,,,,,,7.5
1926,"LOBSTER, AMERICAN",,,,,,,,,,,,7.1
1927,"LOBSTER, AMERICAN",,,,,,,,,,,,7.9
1928,"LOBSTER, AMERICAN","3,221","7,101,017",7.1010,"$2,000,000",2.0,$0.28,,,,,0.211,8.3
1929,"LOBSTER, AMERICAN","3,003","6,620,414",6.6204,"$2,000,000",2.0,$0.30,,,,,,7.2
1930,"LOBSTER, AMERICAN","3,516","7,751,374",7.7514,"$2,000,000",2.0,$0.26,,,,,0.205,8.1
1931,"LOBSTER, AMERICAN","2,434","5,365,996",5.3660,"$1,300,000",1.3,$0.24,,,,,0.168,9.1
1932,"LOBSTER, AMERICAN","2,747","6,056,036",6.0560,"$1,100,000",1.1,$0.18,,,,"2,927",0.208,8.2
1933,"LOBSTER, AMERICAN","2,675","5,897,305",5.8973,"$1,000,000",1.0,$0.17,,,,"2,956",0.18,8.6
1934,"LOBSTER, AMERICAN","2,439","5,377,019",5.3770,"$900,000",0.9,$0.17,,,,"2,925",0.183,7.6
1935,"LOBSTER, AMERICAN","3,487","7,687,440",7.6874,"$1,800,000",1.8,$0.23,,,,"3,102",0.185,8.1
1936,"LOBSTER, AMERICAN","2,323","5,121,286",5.1213,"$900,000",0.9,$0.18,,,,,0.185,7.5
1937,"LOBSTER, AMERICAN","3,333","7,347,932",7.3479,"$1,400,000",1.4,$0.19,,,,,0.186,9.0
1938,"LOBSTER, AMERICAN","3,474","7,658,780",7.6588,,,$0.00,,,,"3,592",0.258,7.3
1939,"LOBSTER, AMERICAN","3,005","6,624,823",6.6248,"$1,000,000",1.0,$0.15,,,,"3,722",0.26,6.4
1940,"LOBSTER, AMERICAN","3,468","7,644,735",7.6447,"$1,300,000",1.3,$0.17,,,,"3,717",0.222,7.0
1941,"LOBSTER, AMERICAN","4,055","8,939,070",8.9391,"$1,600,000",1.6,$0.18,,,,"3,648",0.194,7.9
1942,"LOBSTER, AMERICAN","3,813","8,405,460",8.4055,"$1,800,000",1.8,$0.21,,,,"3,511",0.187,8.1
1943,"LOBSTER, AMERICAN","5,203","11,470,410",11.4704,"$2,900,000",2.9,$0.25,,,,"4,239",0.209,7.4
1944,"LOBSTER, AMERICAN","6,377","14,059,080",14.0591,"$4,000,000",4.0,$0.28,,,,"4,926",0.252,8.0
1945,"LOBSTER, AMERICAN","8,678","19,132,785",19.1328,"$7,700,000",7.7,$0.40,,,,"6,241",0.378,8.4
1946,"LOBSTER, AMERICAN","8,518","18,779,985",18.7800,"$7,200,000",7.2,$0.38,,,,"6,574",0.473,8.5
1947,"LOBSTER, AMERICAN","8,291","18,279,450",18.2795,"$6,800,000",6.8,$0.37,,,,"5,338",0.516,9.2
